X_Wave,Y_Wave,Z_Wave,Scalar_Value
-5.0,-5.0,0.20049625055173417,-0.19340822148507647
-4.7727272727272725,-5.0,0.17024106022826394,-0.21399218631823835
-4.545454545454546,-5.0,0.13512919055449477,-0.23541352305740149
-4.318181818181818,-5.0,0.09619898181313855,-0.2574893488904649
-4.090909090909091,-5.0,0.05454689931379276,-0.28000425795656186
-3.8636363636363638,-5.0,0.01128149211276207,-0.3027122475964436
-3.6363636363636367,-5.0,-0.032520447016547674,-0.32533988035756006
-3.409090909090909,-5.0,-0.07585352619178481,-0.34759071807992015
-3.1818181818181817,-5.0,-0.11781747872045314,-0.3691510109870305
-2.9545454545454546,-5.0,-0.15764359172511597,-0.3896965631532048
-2.7272727272727275,-5.0,-0.19471287487537697,-0.40890062790664733
-2.5,-5.0,-0.22856545626592412,-0.42644261546327616
-2.272727272727273,-5.0,-0.2589011605480669,-0.4420173242264242
-2.0454545454545454,-5.0,-0.28557168536892397,-0.45534434172159516
-1.8181818181818183,-5.0,-0.30856522263979586,-0.4661772071375377
-1.5909090909090908,-5.0,-0.32798474952303824,-0.4743118918056685
-1.3636363636363638,-5.0,-0.34402152148593607,-0.4795941437910239
-1.1363636363636367,-5.0,-0.3569255212522521,-0.48192526448281126
-0.9090909090909092,-5.0,-0.36697474239904715,-0.4812659430268511
-0.6818181818181817,-5.0,-0.3744452091028707,-0.4776378695095271
-0.45454545454545503,-5.0,-0.37958355379551106,-0.4711229760748377
-0.22727272727272751,-5.0,-0.3825837971581838,-0.46186030727567534
0.0,-5.0,-0.3835697098652554,-0.4500406825171046
0.22727272727272751,-5.0,-0.3825837971581838,-0.435899466669082
0.45454545454545414,-5.0,-0.37958355379551106,-0.41970789151367915
0.6818181818181817,-5.0,-0.3744452091028707,-0.40176345524771434
0.9090909090909092,-5.0,-0.36697474239904715,-0.3823799603822956
1.1363636363636358,-5.0,-0.3569255212522521,-0.3618777305389797
1.3636363636363633,-5.0,-0.34402152148593607,-0.340574480273018
1.5909090909090908,-5.0,-0.32798474952303824,-0.31877721184084606
1.8181818181818183,-5.0,-0.30856522263979586,-0.2967753947518092
2.045454545454545,-5.0,-0.2855716853689243,-0.2748355639868393
2.2727272727272725,-5.0,-0.2589011605480669,-0.2531973641633121
2.5,-5.0,-0.22856545626592412,-0.23207097851937858
